ダウンロードした時刻：2021/04/16 06:47:35

,京都,京都,京都
年月,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2010/12,7.5,8,2
2011/1,2.8,8,2
2011/2,6.3,8,2
2011/3,6.8,8,2
2011/11,13.8,8,2
2011/12,6.5,8,2
2012/1,4.1,8,2
2012/2,4.1,8,2
2012/3,8.3,5,2
2012/11,11.1,8,2
2012/12,5.4,8,2
2013/1,3.9,8,2
2013/2,4.5,8,2
2013/3,9.7,8,2
2013/11,11.5,8,2
2013/12,6.3,8,2
2014/1,4.4,5,2
2014/2,5.1,8,2
2014/3,9.0,8,2
2014/11,13.1,8,2
2014/12,5.5,8,2
2015/1,4.9,8,2
2015/2,5.6,8,2
2015/3,9.4,8,2
2015/11,14.5,8,2
2015/12,9.0,8,2
2016/1,5.7,8,2
2016/2,6.4,8,2
2016/3,9.9,8,2
2016/11,12.5,8,2
2016/12,8.2,8,2
2017/1,4.8,8,2
2017/2,5.1,8,2
2017/3,8.2,8,2
2017/11,11.2,8,2
2017/12,5.6,8,2
2018/1,3.9,8,2
2018/2,4.4,8,2
2018/3,10.9,8,2
2018/11,13.5,8,2
2018/12,8.2,8,2
2019/1,5.1,8,2
2019/2,6.9,8,2
2019/3,9.6,8,2
2019/11,12.9,8,2
2019/12,8.3,8,2
2020/1,7.5,8,2
2020/2,6.9,8,2
2020/3,10.6,8,2
2020/11,13.6,8,2
2020/12,7.2,8,2
2021/1,5.1,8,2
2021/2,7.7,8,2
2021/3,11.6,8,2
