ダウンロードした時刻：2021/04/16 06:52:29

集計開始,集計終了,京都,京都,京都
年月日,年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,品質情報,均質番号
1904/1/1,1904/1/10,2.0,8,1
1904/1/11,1904/1/20,2.2,8,1
1904/1/21,1904/1/31,0.6,8,1
1904/2/1,1904/2/10,3.2,8,1
1904/2/11,1904/2/20,3.4,8,1
1904/2/21,1904/2/29,5.6,8,1
1904/3/1,1904/3/10,7.4,8,1
1904/3/11,1904/3/20,5.5,8,1
1904/3/21,1904/3/31,6.0,8,1
1904/11/1,1904/11/10,7.7,8,1
1904/11/11,1904/11/20,8.2,8,1
1904/11/21,1904/11/30,6.3,8,1
1904/12/1,1904/12/10,6.6,8,1
1904/12/11,1904/12/20,6.0,8,1
1904/12/21,1904/12/31,2.7,8,1
1905/1/1,1905/1/10,3.8,8,1
1905/1/11,1905/1/20,4.1,8,1
1905/1/21,1905/1/31,5.1,8,1
1905/2/1,1905/2/10,1.0,8,1
1905/2/11,1905/2/20,2.1,8,1
1905/2/21,1905/2/28,4.4,8,1
1905/3/1,1905/3/10,3.1,8,1
1905/3/11,1905/3/20,5.5,8,1
1905/3/21,1905/3/31,10.3,8,1
1905/11/1,1905/11/10,10.3,8,1
1905/11/11,1905/11/20,10.3,8,1
1905/11/21,1905/11/30,8.5,8,1
1905/12/1,1905/12/10,9.9,8,1
1905/12/11,1905/12/20,5.0,8,1
1905/12/21,1905/12/31,5.6,8,1
1906/1/1,1906/1/10,2.8,8,1
1906/1/11,1906/1/20,1.9,8,1
1906/1/21,1906/1/31,0.3,8,1
1906/2/1,1906/2/10,2.5,8,1
1906/2/11,1906/2/20,2.3,8,1
1906/2/21,1906/2/28,5.5,8,1
1906/3/1,1906/3/10,3.1,8,1
1906/3/11,1906/3/20,7.9,8,1
1906/3/21,1906/3/31,8.5,8,1
1906/11/1,1906/11/10,8.8,8,1
1906/11/11,1906/11/20,11.3,8,1
1906/11/21,1906/11/30,4.6,8,1
1906/12/1,1906/12/10,4.4,8,1
1906/12/11,1906/12/20,7.2,8,1
1906/12/21,1906/12/31,2.2,8,1
1907/1/1,1907/1/10,2.7,8,1
1907/1/11,1907/1/20,2.9,8,1
1907/1/21,1907/1/31,5.6,8,1
1907/2/1,1907/2/10,0.9,8,1
1907/2/11,1907/2/20,1.0,8,1
1907/2/21,1907/2/28,1.9,8,1
1907/3/1,1907/3/10,4.2,8,1
1907/3/11,1907/3/20,5.1,8,1
1907/3/21,1907/3/31,6.8,8,1
1907/11/1,1907/11/10,12.4,8,1
1907/11/11,1907/11/20,11.7,8,1
1907/11/21,1907/11/30,8.1,8,1
1907/12/1,1907/12/10,4.1,8,1
1907/12/11,1907/12/20,3.3,8,1
1907/12/21,1907/12/31,2.3,8,1
1908/1/1,1908/1/10,1.9,8,1
1908/1/11,1908/1/20,5.7,8,1
1908/1/21,1908/1/31,2.2,8,1
1908/2/1,1908/2/10,1.0,8,1
1908/2/11,1908/2/20,1.7,8,1
1908/2/21,1908/2/29,4.6,8,1
1908/3/1,1908/3/10,4.9,8,1
1908/3/11,1908/3/20,4.9,8,1
1908/3/21,1908/3/31,8.6,8,1
1908/11/1,1908/11/10,10.6,8,1
1908/11/11,1908/11/20,6.5,8,1
1908/11/21,1908/11/30,6.7,8,1
1908/12/1,1908/12/10,4.5,8,1
1908/12/11,1908/12/20,4.7,8,1
1908/12/21,1908/12/31,4.6,8,1
1909/1/1,1909/1/10,2.8,8,1
1909/1/11,1909/1/20,2.6,8,1
1909/1/21,1909/1/31,2.1,8,1
1909/2/1,1909/2/10,1.8,8,1
1909/2/11,1909/2/20,2.8,8,1
1909/2/21,1909/2/28,1.2,8,1
1909/3/1,1909/3/10,5.0,8,1
1909/3/11,1909/3/20,5.5,8,1
1909/3/21,1909/3/31,6.3,8,1
1909/11/1,1909/11/10,11.9,8,1
1909/11/11,1909/11/20,7.0,8,1
1909/11/21,1909/11/30,8.6,8,1
1909/12/1,1909/12/10,4.8,8,1
1909/12/11,1909/12/20,2.5,8,1
1909/12/21,1909/12/31,3.6,8,1
1910/1/1,1910/1/10,6.2,8,1
1910/1/11,1910/1/20,3.5,8,1
1910/1/21,1910/1/31,3.6,8,1
