avg_tempC,year,season
11.1,1921,mid_Nov
8.3,1921,late_Nov
7.4,1921,early_Dec
6.6,1921,mid_Dec
3,1921,late_Dec
4,1921,early_Jan
3.5,1921,mid_Jan
3.4,1921,late_Jan
2.8,1921,early_Feb
2.5,1921,mid_Feb
4.5,1921,late_Feb
4.3,1921,early_Mar
5.8,1921,mid_Mar
5.9,1921,late_Mar
8.9,1922,early_Nov
8.7,1922,mid_Nov
5.5,1922,late_Nov
5.1,1922,early_Dec
7,1922,mid_Dec
2.8,1922,late_Dec
2.1,1922,early_Jan
1.1,1922,mid_Jan
0.8,1922,late_Jan
4.9,1922,early_Feb
6.7,1922,mid_Feb
8.5,1922,late_Feb
4.5,1922,early_Mar
7.6,1922,mid_Mar
5.5,1922,late_Mar
13.9,1923,early_Nov
9.7,1923,mid_Nov
7.6,1923,late_Nov
4.7,1923,early_Dec
2.8,1923,mid_Dec
3.6,1923,late_Dec
0.2,1923,early_Jan
1.4,1923,mid_Jan
2.7,1923,late_Jan
1.9,1923,early_Feb
6.5,1923,mid_Feb
2.4,1923,late_Feb
4.9,1923,early_Mar
8.5,1923,mid_Mar
10.6,1923,late_Mar
13.5,1924,early_Nov
10.2,1924,mid_Nov
8.6,1924,late_Nov
7.4,1924,early_Dec
5.6,1924,mid_Dec
4.7,1924,late_Dec
3.3,1924,early_Jan
4.1,1924,mid_Jan
1,1924,late_Jan
4.9,1924,early_Feb
3.6,1924,mid_Feb
2.5,1924,late_Feb
3.3,1924,early_Mar
2.6,1924,mid_Mar
6,1924,late_Mar
10,1925,early_Nov
7.4,1925,mid_Nov
7.2,1925,late_Nov
5.4,1925,early_Dec
3.5,1925,mid_Dec
4.1,1925,late_Dec
3.3,1925,early_Jan
2.1,1925,mid_Jan
1.9,1925,late_Jan
2.3,1925,early_Feb
2.9,1925,mid_Feb
1.1,1925,late_Feb
3.8,1925,early_Mar
4.5,1925,mid_Mar
7.4,1925,late_Mar
11.8,1926,early_Nov
12.1,1926,mid_Nov
8.7,1926,late_Nov
6.8,1926,early_Dec
4.9,1926,mid_Dec
5.1,1926,late_Dec
1.8,1926,early_Jan
4,1926,mid_Jan
0.9,1926,late_Jan
4.3,1926,early_Feb
3.3,1926,mid_Feb
4,1926,late_Feb
5.5,1926,early_Mar
5.5,1926,mid_Mar
5.2,1926,late_Mar
9.7,1927,early_Nov
9.5,1927,mid_Nov
7.2,1927,late_Nov
6.1,1927,early_Dec
4.2,1927,mid_Dec
1,1927,late_Dec
5.3,1927,early_Jan
3.8,1927,mid_Jan
-0.6,1927,late_Jan
0.7,1927,early_Feb
3.2,1927,mid_Feb
2.2,1927,late_Feb
3.7,1927,early_Mar
5.5,1927,mid_Mar
8.9,1927,late_Mar
11.9,1928,early_Nov
10.8,1928,mid_Nov
10.2,1928,late_Nov
8,1928,early_Dec
5.8,1928,mid_Dec
3.8,1928,late_Dec
2.2,1928,early_Jan
3.8,1928,mid_Jan
4.6,1928,late_Jan
2.2,1928,early_Feb
2.7,1928,mid_Feb
4,1928,late_Feb
5.5,1928,early_Mar
5.8,1928,mid_Mar
7.8,1928,late_Mar
13.3,1929,early_Nov
11.1,1929,mid_Nov
8.8,1929,late_Nov
6.9,1929,early_Dec
4.5,1929,mid_Dec
3.2,1929,late_Dec
0.8,1929,early_Jan
3.4,1929,mid_Jan
1,1929,late_Jan
1.6,1929,early_Feb
1.4,1929,mid_Feb
4,1929,late_Feb
3.2,1929,early_Mar
4,1929,mid_Mar
10.1,1929,late_Mar
12.5,1930,early_Nov
10,1930,mid_Nov
8.3,1930,late_Nov
7.6,1930,early_Dec
12.6,1930,mid_Dec
5.4,1930,late_Dec
2,1930,early_Jan
2.8,1930,mid_Jan
3.4,1930,late_Jan
3.9,1930,early_Feb
2.9,1930,mid_Feb
8.5,1930,late_Feb
6.5,1930,early_Mar
7.4,1930,mid_Mar
10.9,1930,late_Mar
11.5,1931,early_Nov
7.9,1931,mid_Nov
7.5,1931,late_Nov
6.3,1931,early_Dec
5.8,1931,mid_Dec
4,1931,late_Dec
5.3,1931,early_Jan
1.5,1931,mid_Jan
3.3,1931,late_Jan
4.6,1931,early_Feb
2.5,1931,mid_Feb
3.1,1931,late_Feb
4.7,1931,early_Mar
7,1931,mid_Mar
8.4,1931,late_Mar
12.9,1932,early_Nov
12.5,1932,mid_Nov
9,1932,late_Nov
7.3,1932,early_Dec
4.6,1932,mid_Dec
5.3,1932,late_Dec
4.3,1932,early_Jan
3.8,1932,mid_Jan
5.5,1932,late_Jan
3.8,1932,early_Feb
3.5,1932,mid_Feb
1.7,1932,late_Feb
5.3,1932,early_Mar
5.7,1932,mid_Mar
6.3,1932,late_Mar
12.2,1933,early_Nov
9.2,1933,mid_Nov
9,1933,late_Nov
7.3,1933,early_Dec
4.7,1933,mid_Dec
5.3,1933,late_Dec
4,1933,early_Jan
3.3,1933,mid_Jan
1.2,1933,late_Jan
2.6,1933,early_Feb
2.6,1933,mid_Feb
3,1933,late_Feb
2.7,1933,early_Mar
5,1933,mid_Mar
7.6,1933,late_Mar
11.4,1934,early_Nov
11.3,1934,mid_Nov
9.3,1934,late_Nov
7.8,1934,early_Dec
4.6,1934,mid_Dec
4.3,1934,late_Dec
1.6,1934,early_Jan
1,1934,mid_Jan
0.6,1934,late_Jan
2.9,1934,early_Feb
2.3,1934,mid_Feb
2.2,1934,late_Feb
1.9,1934,early_Mar
7,1934,mid_Mar
7.5,1934,late_Mar
11.1,1935,early_Nov
8.7,1935,mid_Nov
7.8,1935,late_Nov
5.5,1935,early_Dec
6.2,1935,mid_Dec
5.8,1935,late_Dec
4.2,1935,early_Jan
3.9,1935,mid_Jan
1.7,1935,late_Jan
2.8,1935,early_Feb
4.2,1935,mid_Feb
6.7,1935,late_Feb
6,1935,early_Mar
8,1935,mid_Mar
6.6,1935,late_Mar
12.3,1936,early_Nov
9.6,1936,mid_Nov
10.4,1936,late_Nov
7.9,1936,early_Dec
2.7,1936,mid_Dec
4.8,1936,late_Dec
2.1,1936,early_Jan
-0.1,1936,mid_Jan
0.6,1936,late_Jan
0.3,1936,early_Feb
2.5,1936,mid_Feb
1.6,1936,late_Feb
0.4,1936,early_Mar
5.8,1936,mid_Mar
